fecha,dia,hora,minuto,open,high,low,fin,volume,symbol
2025-08-01,1,13,15,244.3903,244.3903,243.9980,244.2811,237156,IBM
2025-08-01,1,13,30,244.2811,245.4380,244.2811,244.9812,518371,IBM
2025-08-01,1,13,45,244.9613,245.6118,244.5144,245.2295,231956,IBM
2025-08-01,1,14,0,245.1649,246.0040,245.1649,245.7062,152333,IBM
2025-08-01,1,14,15,245.7062,246.1928,245.4877,246.1481,109709,IBM
2025-08-01,1,14,30,246.0935,246.9873,246.0935,246.9774,171822,IBM
2025-08-01,1,14,45,247.0469,247.2852,246.8085,247.0317,476679,IBM
2025-08-01,1,15,0,246.9774,247.2256,246.8185,247.1660,170222,IBM
2025-08-01,1,15,15,247.1958,247.3249,246.9287,246.9972,196343,IBM
2025-08-01,1,15,30,247.0070,247.2852,246.7887,247.1114,223386,IBM
2025-08-01,1,15,45,247.1065,248.5068,246.8483,248.1890,1111424,IBM
2025-08-01,1,16,0,248.2386,249.2714,247.7818,247.8645,3024309,IBM
2025-08-01,1,16,15,248.3280,248.3776,248.0301,248.2287,7302,IBM
2025-08-01,1,16,30,248.0301,248.3776,248.0301,248.3081,299,IBM
2025-08-01,1,16,45,248.2783,248.3776,248.1294,248.2684,1737,IBM
2025-08-01,1,17,0,248.3677,248.3776,248.2039,248.2684,297,IBM
2025-08-01,1,17,15,248.2287,248.3280,248.1790,248.3280,217,IBM
2025-08-01,1,17,30,248.3278,248.6756,248.2783,248.4770,662,IBM
2025-08-01,1,17,45,248.4770,248.6756,248.2485,248.2912,256,IBM
2025-08-01,1,18,0,248.3081,248.6756,248.2530,248.2883,17407,IBM
2025-08-01,1,18,15,248.2883,248.6756,248.2783,248.6200,132,IBM
2025-08-01,1,18,30,248.3280,248.6756,248.2485,248.2485,964648,IBM
2025-08-01,1,18,45,248.2386,248.6491,248.2287,248.5763,358,IBM
2025-08-01,1,19,0,248.3280,248.6756,248.0897,248.6756,964607,IBM
2025-08-01,1,19,15,248.2783,248.6756,248.2287,248.2287,65,IBM
2025-08-01,1,19,30,248.2287,248.6756,248.2287,248.2783,36,IBM
2025-08-01,1,19,45,248.2287,248.3280,247.8811,248.3280,681,IBM
2025-08-01,1,4,0,163.2674,163.4362,162.8008,162.9398,579,JNJ
2025-08-01,1,4,15,163.0490,163.1880,162.9398,162.9994,404,JNJ
2025-08-01,1,4,30,163.0490,163.3964,162.8008,163.1880,1557,JNJ
2025-08-01,1,4,45,163.0788,163.4064,163.0788,163.0986,423,JNJ
2025-08-01,1,5,0,163.2078,163.4957,163.1979,163.2475,337,JNJ
2025-08-01,1,5,15,163.2475,163.4759,163.2475,163.4759,352,JNJ
2025-08-01,1,5,30,163.4759,163.4759,163.3567,163.3766,27,JNJ
2025-08-01,1,5,45,163.3766,163.5255,163.3766,163.3766,43,JNJ
2025-08-01,1,6,0,163.4858,163.4957,163.3865,163.4064,246,JNJ
2025-08-01,1,6,15,163.4064,163.4858,163.4064,163.4262,118,JNJ
2025-08-01,1,6,30,163.4262,163.4262,163.3170,163.3170,168,JNJ
2025-08-01,1,6,45,163.3468,163.3567,163.1979,163.2078,399,JNJ
2025-08-01,1,7,0,163.2078,163.3667,163.1086,163.3170,648,JNJ
2025-08-01,1,7,15,163.2178,163.2376,163.2178,163.2178,31,JNJ
2025-08-01,1,7,30,163.2078,163.2078,163.1979,163.1979,41,JNJ
2025-08-01,1,7,45,163.2178,163.2773,163.1185,163.2773,233,JNJ
2025-08-01,1,8,0,163.1086,163.6545,162.3938,163.2376,1157,JNJ
2025-08-01,1,8,15,163.2972,163.5354,162.8008,162.8008,1561,JNJ
2025-08-01,1,8,30,163.2872,164.9153,162.8008,164.5579,5465,JNJ
2025-08-01,1,8,45,164.4983,164.7862,164.1122,164.7862,1016,JNJ
2025-08-01,1,9,0,164.2899,164.7862,163.5354,164.7465,533,JNJ
2025-08-01,1,9,15,164.1608,164.5579,163.5354,164.2998,1656,JNJ
2025-08-01,1,9,30,164.2650,165.3670,163.8432,164.8656,579147,JNJ
2025-08-01,1,9,45,164.8557,164.8855,164.3147,164.5777,290781,JNJ
2025-08-01,1,10,0,164.5877,164.9053,163.9126,164.1608,279402,JNJ
2025-08-01,1,10,15,164.1658,164.3692,163.8630,163.9722,254414,JNJ
2025-08-01,1,10,30,163.9325,164.0318,163.5851,163.8432,165187,JNJ
2025-08-01,1,10,45,163.8233,164.7862,163.7935,164.3780,176597,JNJ
2025-08-01,1,11,0,164.3842,164.8160,164.2452,164.8160,135379,JNJ
2025-08-01,1,11,15,164.8011,165.1287,164.7366,165.0741,285159,JNJ
2025-08-01,1,11,30,165.0741,165.1832,164.5430,165.0939,170012,JNJ
2025-08-01,1,11,45,165.0741,165.1138,164.9004,164.9847,134667,JNJ
2025-08-01,1,12,0,164.9847,165.3520,164.9599,165.3322,174044,JNJ
2025-08-01,1,12,15,165.3421,165.3620,165.1833,165.1833,137073,JNJ
2025-08-01,1,12,30,165.1833,165.2673,165.0145,165.1932,156710,JNJ
2025-08-01,1,12,45,165.1734,165.4612,165.1336,165.4611,124576,JNJ
2025-08-01,1,13,0,165.4612,165.6002,165.4021,165.5903,161860,JNJ
